Title,BodyPart,Equipment,Level
Partner plank band row,abdominals,bands,intermediate
Banded crunch isometric hold,abdominals,bands,intermediate
FYR Banded Plank Jack,abdominals,bands,intermediate
Banded crunch,abdominals,bands,intermediate
Crunch,abdominals,bands,intermediate
Decline band press sit-up,abdominals,bands,intermediate
FYR2 Banded Frog Pump,abdominals,bands,intermediate
Band low-to-high twist,abdominals,bands,intermediate
Barbell roll-out,abdominals,barbell,intermediate
Barbell Ab Rollout - On Knees,abdominals,barbell,intermediate
Decline bar press sit-up,abdominals,barbell,intermediate
Bench barbell roll-out,abdominals,barbell,beginner
Barbell Side Bend,abdominals,barbell,beginner
Seated bar twist,abdominals,barbell,intermediate
Single-arm landmine pull and press,abdominals,barbell,intermediate
Barbell Ab Roll Out - Gethin Variation,abdominals,barbell,intermediate
30 Barbell Floor Wiper,abdominals,barbell,intermediate
30 Barbell Roll-Out,abdominals,barbell,intermediate
Decline plate sit-up,abdominals,barbell,intermediate
KV Barbell Hip Thrust,abdominals,barbell,intermediate
Advanced Kettlebell Windmill,abdominals,kettlebells,beginner
Kettlebell Windmill,abdominals,kettlebells,intermediate
Kettlebell Pass Between The Legs,abdominals,kettlebells,beginner
Kettlebell 3-point leg extension,abdominals,kettlebells,intermediate
Double Kettlebell Swing,abdominals,kettlebells,intermediate
Burpee over kettlebell,abdominals,kettlebells,intermediate
Kettlebell toe-touch,abdominals,kettlebells,intermediate
Kettlebell swing,abdominals,kettlebells,intermediate
Two-way swing,abdominals,kettlebells,intermediate
Kettlebell crab reach,abdominals,kettlebells,intermediate
Taylor Single-Arm Kettlebell Swing,abdominals,kettlebells,intermediate
Holman Kettlebell Up to Elbow Down,abdominals,kettlebells,intermediate
FYR2 Double-Kettlebell Ski,abdominals,kettlebells,intermediate
FYR2 Kettlebell Hike,abdominals,kettlebells,intermediate
FYR2 Kettlebell Cross-Body Catch,abdominals,kettlebells,intermediate
FYR2 Kettlebell Duck Walk,abdominals,kettlebells,intermediate
FYR2 Kettlebell Get-Up Reach,abdominals,kettlebells,intermediate
FYR2 Kettlebell Juggle,abdominals,kettlebells,intermediate
FYR2 Squat-Clean-Alternating-Press Complex,abdominals,kettlebells,intermediate
Dumbbell V-Sit Cross Jab,abdominals,dumbbell,intermediate
Dumbbell spell caster,abdominals,dumbbell,beginner
Dumbbell side bend,abdominals,dumbbell,intermediate
Dumbbell crunch,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Sprawl,abdominals,dumbbell,intermediate
Dumbbell Fix Alternating Renegade Row,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Mountain Climber,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Russian Twist,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Pull-Over,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Sit-Up,abdominals,dumbbell,intermediate
Dumbbell Fix Dumbbell Front Squat,abdominals,dumbbell,intermediate
Dumbbell Fix Full Man Maker,abdominals,dumbbell,intermediate
Dumbbell T-hold,abdominals,dumbbell,intermediate
Dumbbell hollow-body floor press,abdominals,dumbbell,intermediate
Dumbbell crusher,abdominals,dumbbell,intermediate
Dumbbell Crunch - Gethin Variation,abdominals,dumbbell,intermediate
Single-arm dumbbell crunch,abdominals,dumbbell,intermediate
HM Alternating Dumbbell Plank Row,abdominals,dumbbell,intermediate
Dumbbell straight-legged hip raise,abdominals,dumbbell,intermediate
Seated leg tuck with dumbbell,abdominals,dumbbell,intermediate
Dumbbell V-sit cross jab-,abdominals,dumbbell,intermediate
30 Hanging Leg Raise With Dumbbell,abdominals,dumbbell,intermediate
Dumbbell Get-Up Sit-Up,abdominals,dumbbell,expert
Holman Right Side Plank with Left Triceps Press,abdominals,dumbbell,intermediate
Holman Left Side Plank with Right Triceps Press,abdominals,dumbbell,intermediate
Holman Boat with Feet Push-Out and Overhead Press,abdominals,dumbbell,intermediate
Holman Hovering Plank Row,abdominals,dumbbell,intermediate
Holman Weighted Seated Killer Abs to Russian Twist,abdominals,dumbbell,intermediate
Holman Straight Plank Dumbbell Reach-Under,abdominals,dumbbell,intermediate
Holman Straight-Arm Side Plank Overhead Press to Chest Press,abdominals,dumbbell,intermediate
Holman Weighted Burpee to Pike,abdominals,dumbbell,intermediate
Holman Straight-Legged Boat Chest Press,abdominals,dumbbell,intermediate
Holman Weighted Burpee to Side Delt Raise,abdominals,dumbbell,intermediate
Holman Heavy Double Pike,abdominals,dumbbell,intermediate
Holman Heavy Double Split Pike,abdominals,dumbbell,intermediate
MetaBurn Alternating Dumbbell Sit-Through,abdominals,dumbbell,intermediate
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,abdominals,dumbbell,intermediate
MetaBurn Alternating Plank Row With Push-Up,abdominals,dumbbell,intermediate
MetaBurn Dumbbell Russian Twist,abdominals,dumbbell,intermediate
MetaBurn Dumbbell Toe-Touch,abdominals,dumbbell,intermediate
MetaBurn Plank To Alternating Row,abdominals,dumbbell,intermediate
Standing dumbbell knee crunch-,abdominals,dumbbell,intermediate
MetaBurn Plank With Dumbbell Rotation,abdominals,dumbbell,intermediate
FYR2 Dumbbell Crab Reach,abdominals,dumbbell,intermediate
FYR2 Dumbbell Man-Maker,abdominals,dumbbell,intermediate
FYR2 Dumbbell Sit-Up Reach,abdominals,dumbbell,intermediate
FYR2 Loaded Beast Sprawl,abdominals,dumbbell,intermediate
FYR2 Loaded to Unloaded Beast,abdominals,dumbbell,intermediate
Lying Leg Pullover,abdominals,dumbbell,intermediate
Landmine twist,abdominals,other,intermediate
Suspended ab fall-out,abdominals,other,intermediate
Decline reverse crunch,abdominals,other,intermediate
Plate Twist,abdominals,other,beginner
Weighted Crunches,abdominals,other,intermediate
Ab Roller,abdominals,other,intermediate
Otis-Up,abdominals,other,intermediate
Captain's chair knee raise,abdominals,other,intermediate
Sledgehammer swing,abdominals,other,intermediate
Decline bar press sit-up,abdominals,barbell,intermediate
Pallof press,abdominals,other,intermediate
Weighted Sit-Ups - With Bands,abdominals,other,intermediate
Suitcase crunch,abdominals,other,intermediate
FYR Rope Jumping,abdominals,other,intermediate
Barbell press sit-up,abdominals,other,intermediate
Single-arm bent-over rear delt fly,abdominals,other,intermediate
Captain's chair leg raise,abdominals,other,intermediate
Shoulder-Elevated One-Leg Hip Thrusts,abdominals,other,intermediate
Ab Twist - Gethin Variation,abdominals,other,intermediate
Weighted Crunch - Gethin Variation,abdominals,other,intermediate
Ab Wheel Roll-Out - Gethin Variation,abdominals,other,intermediate
Bench crunch,abdominals,other,intermediate
Decline plate sit-up twist,abdominals,other,intermediate
Reverse ab roll-out,abdominals,other,intermediate
30 Seated Twist With PVC Pipe,abdominals,other,intermediate
Suspended crunch-,abdominals,other,intermediate
Suspended oblique crunch,abdominals,other,intermediate
Weighted sit-up,abdominals,other,intermediate
30 Decline Press Sit-Up,abdominals,other,intermediate
Holman Towel Reverse Plank Alternating Heel Pull-in,abdominals,other,intermediate
Holman Boat with Weighted Cross Punch,abdominals,other,intermediate
Holman Weighted Hook Punch,abdominals,other,intermediate
Holman Weighted Traveling Punch,abdominals,other,intermediate
Holman Weighted Uppercut Punch,abdominals,other,intermediate
Holman Slow Weighted Double Pike,abdominals,other,intermediate
Holman Plate Straight Plank Reach,abdominals,other,intermediate
Holman Plate Elbow Plank Jack to Straight Plank Jack,abdominals,other,intermediate
Holman Plate Hill Climber,abdominals,other,intermediate
Holman Plate Reverse Plank Hill Climber,abdominals,other,intermediate
Holman Plate Straight Plank Pike to Jack,abdominals,other,intermediate
Holman Plate In-and-Out Push-Up,abdominals,other,intermediate
Holman Plate Burpee,abdominals,other,intermediate
Holman Plate Elbow Plank Reach,abdominals,other,intermediate
